ma_tour,title,layout,meta_title,bigimg,image,tags,categories,transport,location,duration,discount,price
ND13,"Tour Tây Ninh - Núi Bà Đen",post,"Tây Ninh - Núi Bà Đen","/img/tours/domestic/tay-ninh-nui-ba-den.jpg","/img/tours/domestic/tay-ninh-nui-ba-den.jpg","tour tây ninh, núi bà đen, du lịch tâm linh, tour nội địa","[tours#domestic]","🚌 + 🚠","Tây Ninh - Núi Bà Đen","1N",5,"1.500.000"
ND14,"Tour Vũng Tàu Biển Xanh",post,"Vũng Tàu Biển Xanh","/img/tours/domestic/vung-tau.jpg","/img/tours/domestic/vung-tau.jpg","tour vũng tàu, du lịch biển, tour nội địa, gần sài gòn","[tours#domestic]","🚌","Vũng Tàu","2N1Đ",8,"2.600.000"
ND15,"Tour Buôn Ma Thuột - Hồ Lắk",post,"Buôn Ma Thuột - Hồ Lắk","/img/tours/domestic/buon-ma-thuot.jpg","/img/tours/domestic/buon-ma-thuot.jpg","tour buôn ma thuột, hồ lắk, du lịch tây nguyên, tour nội địa","[tours#domestic,hot]","✈️ + 🚌","Buôn Ma Thuột - Hồ Lắk","3N2Đ",9,"4.900.000"
ND16,"Tour Mũi Né - Đồi Cát Bay",post,"Mũi Né - Đồi Cát Bay","/img/tours/domestic/mui-ne-doi-cat.jpg","/img/tours/domestic/mui-ne-doi-cat.jpg","tour mũi né, đồi cát bay, du lịch biển, tour nội địa","[tours#domestic,hot]","🚌","Mũi Né - Đồi Cát Bay","2N1Đ",7,"2.500.000"
ND17,"Tour Cà Mau - Đất Mũi",post,"Cà Mau - Đất Mũi","/img/tours/domestic/ca-mau-dat-mui.jpg","/img/tours/domestic/ca-mau-dat-mui.jpg","tour cà mau, đất mũi, du lịch miền tây, tour nội địa","[tours#domestic]","🚌","Cà Mau - Đất Mũi","3N2Đ",8,"4.600.000"
ND18,"Tour Bắc Kạn - Hồ Ba Bể",post,"Bắc Kạn - Hồ Ba Bể","/img/tours/domestic/bac-kan-ho-ba-be.jpg","/img/tours/domestic/bac-kan-ho-ba-be.jpg","tour bắc kạn, hồ ba bể, du lịch đông bắc, tour nội địa","[tours#domestic,special-offer]","🚌","Bắc Kạn - Hồ Ba Bể","3N2Đ",10,"5.200.000"
ND19,"Tour Lý Sơn - Đảo Tỏi",post,"Lý Sơn - Đảo Tỏi","/img/tours/domestic/ly-son-dao-toi.jpg","/img/tours/domestic/ly-son-dao-toi.jpg","tour lý sơn, đảo tỏi, du lịch biển đảo, tour nội địa","[tours#domestic,hot]","✈️ + 🚅","Lý Sơn - Đảo Tỏi","3N2Đ",9,"5.400.000"
ND20,"Tour Pleiku - Kon Tum",post,"Pleiku - Kon Tum","/img/tours/domestic/pleiku-kon-tum.jpg","/img/tours/domestic/pleiku-kon-tum.jpg","tour pleiku, kon tum, du lịch tây nguyên, tour nội địa","[tours#domestic,hot]","✈️ + 🚌","Pleiku - Kon Tum","3N2Đ",8,"5.100.000"
ND21,"Tour Vinh - Cửa Lò",post,"Vinh - Cửa Lò","/img/tours/domestic/vinh-cua-lo.jpg","/img/tours/domestic/vinh-cua-lo.jpg","tour vinh, cửa lò, du lịch biển, tour nội địa","[tours#domestic]","🚌","Vinh - Cửa Lò","2N1Đ",7,"2.400.000"
ND22,"Tour Mộc Châu - Sơn La",post,"Mộc Châu - Sơn La","/img/tours/domestic/moc-chau-son-la.jpg","/img/tours/domestic/moc-chau-son-la.jpg","tour mộc châu, sơn la, du lịch tây bắc, tour nội địa","[tours#domestic,special-offer]","🚌","Mộc Châu - Sơn La","2N1Đ",9,"3.300.000"
ND23,"Tour Hạ Long - Tuần Châu",post,"Hạ Long - Tuần Châu","/img/tours/domestic/ha-long-tuan-chau.jpg","/img/tours/domestic/ha-long-tuan-chau.jpg","tour hạ long, tuần châu, du lịch miền bắc, tour nội địa","[tours#domestic]","🚌 + 🚅","Hạ Long - Tuần Châu","2N1Đ",8,"3.200.000"
