ma_service,title,layout,meta_title,bigimg,image,tags,categories,transport,location,duration,discount,price
NEWS_EVENT01,"Xu hướng tổ chức team building 2025",post,"Xu hướng tổ chức team building 2025","/img/post-news/team-building-2025.jpg","/img/post-news/team-building-2025.jpg","team building, sự kiện doanh nghiệp, xu hướng sự kiện","[post-news#event]","","Toàn quốc","","",""
NEWS_EVENT02,"Gala dinner: Ý tưởng tổ chức ấn tượng cho doanh nghiệp",post,"Gala dinner: Ý tưởng tổ chức ấn tượng cho doanh nghiệp","/img/post-news/gala-dinner-y-tuong.jpg","/img/post-news/gala-dinner-y-tuong.jpg","gala dinner, tổ chức sự kiện, doanh nghiệp","[post-news#event]","","Toàn quốc","","",""
NEWS_EVENT03,"Hội nghị khách hàng: Bí quyết thành công",post,"Hội nghị khách hàng: Bí quyết thành công","/img/post-news/hoi-nghi-khach-hang.jpg","/img/post-news/hoi-nghi-khach-hang.jpg","hội nghị khách hàng, tổ chức sự kiện, bí quyết thành công","[post-news#event]","","Toàn quốc","","",""
NEWS_EVENT04,"Tổ chức sự kiện ngoài trời: Những điều cần lưu ý",post,"Tổ chức sự kiện ngoài trời: Những điều cần lưu ý","/img/post-news/su-kien-ngoai-troi.jpg","/img/post-news/su-kien-ngoai-troi.jpg","sự kiện ngoài trời, tổ chức sự kiện, lưu ý sự kiện","[post-news#event]","","Toàn quốc","","",""
NEWS_EVENT05,"Xu hướng du lịch MICE tại Việt Nam",post,"Xu hướng du lịch MICE tại Việt Nam","/img/post-news/du-lich-mice-viet-nam.jpg","/img/post-news/du-lich-mice-viet-nam.jpg","du lịch MICE, sự kiện doanh nghiệp, xu hướng du lịch","[post-news#event]","","Toàn quốc","","",""
NEWS_POLICY01,"Chính sách hoàn hủy vé máy bay mới nhất",post,"Chính sách hoàn hủy vé máy bay mới nhất","/img/post-news/chinh-sach-hoan-huy-ve.jpg","/img/post-news/chinh-sach-hoan-huy-ve.jpg","chính sách hoàn vé, hủy vé máy bay, thông tin du lịch","[post-news#policy]","","Toàn thế giới","","",""
NEWS_POLICY02,"Quy định hành lý ký gửi các hãng hàng không",post,"Quy định hành lý ký gửi các hãng hàng không","/img/post-news/quy-dinh-hanh-ly.jpg","/img/post-news/quy-dinh-hanh-ly.jpg","quy định hành lý, hãng hàng không, thông tin du lịch","[post-news#policy]","","Toàn thế giới","","",""
NEWS_POLICY03,"Cập nhật thủ tục xuất nhập cảnh mới nhất",post,"Cập nhật thủ tục xuất nhập cảnh mới nhất","/img/post-news/thu-tuc-xuat-nhap-canh.jpg","/img/post-news/thu-tuc-xuat-nhap-canh.jpg","thủ tục xuất nhập cảnh, thông tin du lịch, chính sách mới","[post-news#policy]","","Toàn thế giới","","",""
NEWS_HEALTH01,"Lưu ý sức khỏe khi đi du lịch nước ngoài",post,"Lưu ý sức khỏe khi đi du lịch nước ngoài","/img/post-news/luu-y-suc-khoe-du-lich.jpg","/img/post-news/luu-y-suc-khoe-du-lich.jpg","sức khỏe du lịch, bảo hiểm du lịch, mẹo sức khỏe","[post-news#health]","","Toàn thế giới","","",""
NEWS_HEALTH02,"Các loại vaccine cần thiết khi du lịch quốc tế",post,"Các loại vaccine cần thiết khi du lịch quốc tế","/img/post-news/vaccine-du-lich-quoc-te.jpg","/img/post-news/vaccine-du-lich-quoc-te.jpg","vaccine du lịch, sức khỏe quốc tế, phòng bệnh du lịch","[post-news#health]","","Toàn thế giới","","",""
NEWS_HEALTH03,"Bảo hiểm du lịch: Vì sao nên mua?",post,"Bảo hiểm du lịch: Vì sao nên mua?","/img/post-news/bao-hiem-du-lich.jpg","/img/post-news/bao-hiem-du-lich.jpg","bảo hiểm du lịch, an toàn chuyến đi, sức khỏe du lịch","[post-news#health]","","Toàn thế giới","","",""
